title,author,state,district,ban_type,origin,date,year,month
Tilt,"Hopkins, Ellen",Texas,Prosper Independent School District,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
Gender Identity: Beyond Pronouns and Bathrooms,"Cook, Maria",Texas,Prosper Independent School District,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
Perfect (Impulse Series),"Hopkins, Ellen",Texas,Prosper Independent School District,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
More Happy Than Not,"Silvera, Adam",Florida,Lee County Schools,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
Protest Movements: Then and Now,"Braun, Eric",Wisconsin,School District of Cadott Community,Banned in Libraries and Classrooms,Formal Challenge,2022-03-01,2022,2022-03
Fly on the Wall: How One Girl Saw Everything,"lockhart, e",Florida,Lee County Schools,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
Crank (Crank Series),"Hopkins, Ellen",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
The Family Book,"Parr, Todd",Florida,Lee County Schools,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
The Poet X,"Acevedo, Elizabeth",Texas,Fredericksburg Independent School District,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
Dreaming in Cuban,"García, Cristina",Florida,Lee County Schools,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Lee County Schools,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
The Hate U Give,"Thomas, Angie",Florida,Lake County Schools,Banned in Libraries and Classrooms,Formal Challenge,2022-03-01,2022,2022-03
Push,Sapphire,Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
Jailbait,"Newman, Lesléa",Texas,Fredericksburg Independent School District,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
Triangles,"Hopkins, Ellen",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
Love & Sex: Ten Stories of Truth,"Cart, Michael",Texas,Fredericksburg Independent School District,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
The Kite Runner,"Hosseini, Khaled",Texas,Fredericksburg Independent School District,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
"l8r, g8r","Myracle, Lauren",Texas,Fredericksburg Independent School District,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
Jumping Off Swings (Jumping Off Swings Series),"Knowles, Jo",Texas,Fredericksburg Independent School District,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
The Nowhere Girls,"Reed, Amy",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
Tilt,"Hopkins, Ellen",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
The Stonewall Riots: Coming Out in the Street,"Pitman, Gayle E.",Texas,Prosper Independent School District,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
Understanding Sexuality,"World Book, Inc.",Texas,Fredericksburg Independent School District,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
The Other Talk: Reckoning with Our White Privilege,"Kiely, Brendan",Texas,Fredericksburg Independent School District,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
"Then Again, Maybe I Won't","Blume, Judy",Texas,Fredericksburg Independent School District,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
Drama: A Graphic Novel,"Telgemeier, Raina",Texas,Fredericksburg Independent School District,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
Melissa (George),"Gino, Alex",Florida,Lee County Schools,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
Gender Queer: A Memoir,"Kobabe, Maia",New York,Wappingers Central School District,Banned in Libraries and Classrooms,Formal Challenge,2022-03-01,2022,2022-03
Gender Queer: A Memoir,"Kobabe, Maia",Illinois,Harlem School District 122,Banned in Libraries and Classrooms,Formal Challenge,2022-03-01,2022,2022-03
Sex & Violence,"Mesrobian, Carrie",Texas,Fredericksburg Independent School District,Banned Pending Investigation,Administrator,2022-03-01,2022,2022-03
What We Saw,"Hartzler, Aaron",Texas,Prosper Independent School District,Banned in Libraries and Classrooms,Administrator,2022-03-01,2022,2022-03
Clockwork Princess (The Infernal Devices Series),"Clare, Cassandra",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Nineteen Minutes,"Picoult, Jodi",Florida,Lee County Schools,Banned in Libraries,Administrator,2022-05-01,2022,2022-05
33 Snowfish,"Rapp, Adam",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Crank (Crank Series),"Hopkins, Ellen",Tennessee,Wilson County School District,Banned in Libraries,Other,2022-05-01,2022,2022-05
The House on Mango Street,"Cisneros, Sandra",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
A ​Court of Silver Flames (A Court of Thorns and Roses Series),"Maas, Sarah J.",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Slaughterhouse-Five,"Vonnegut Jr., Kurt",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Vampire Academy (Vampire Academy Series),"Mead, Richelle",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
"l8r, g8r","Myracle, Lauren",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Beautiful,"Reed, Amy",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",Florida,Lee County Schools,Banned in Libraries,Administrator,2022-05-01,2022,2022-05
The Glass Castle,"Walls, Jeannette",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Living Dead Girl,"Scott, Elizabeth",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Dear Martin,"Stone, Nic",Florida,Lee County Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Crank (Crank Series),"Hopkins, Ellen",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Triangles,"Hopkins, Ellen",Virginia,Virginia Beach City Public Schools,Banned in Libraries and Classrooms,Formal Challenge,2022-05-01,2022,2022-05
Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
The Kite Runner,"Hosseini, Khaled",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
You: A Novel of Dark Obsession (You Series),"Kepnes, Caroline",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
House of Sky and Breath (Crescent City Series),"Maas, Sarah J.",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Eleanor & Park,"Rowell, Rainbow",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
The Kite Runner,"Hosseini, Khaled",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
The Realm of Possibility,"Levithan, David",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Something Happened in Our Town,"Celano, Marianne",Missouri,Fox C-6 School District,Banned in Libraries,Formal Challenge,2022-05-01,2022,2022-05
Out of Darkness,"Pérez, Ashley Hope",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Lucky,"Sebold, Alice",Florida,St. Johns County School District,Banned in Libraries,Formal Challenge,2022-05-01,2022,2022-05
Homegoing,"Gyasi, Yaa",Missouri,Nixa Public Schools,Banned in Libraries,Formal Challenge,2022-05-01,2022,2022-05
Drama: A Graphic Novel,"Telgemeier, Raina",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Milk and Honey,"Kaur, Rupi",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
A Court of Wings and Ruin (A Court of Thorns and Roses Series),"Maas, Sarah J.",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
A Place at the Table,"Faruqi, Saadia",North Carolina,Wilkes County School District,Banned in Classrooms,Administrator,2022-05-01,2022,2022-05
Fun Home: A Family Tragicomic,"Bechdel, Alison",Missouri,Nixa Public Schools,Banned in Libraries and Classrooms,Formal Challenge,2022-05-01,2022,2022-05
Last Night at the Telegraph Club,"Lo, Malinda",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Looking for Alaska,"Green, John",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
The Infinite Moment of Us,"Myracle, Lauren",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
All Boys Aren't Blue,"Johnson, George M.",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
City of Heavenly Fire (The Mortal Instruments Series),"Clare, Cassandra",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Romiette and Julio,"Draper, Sharon M.",Florida,Lee County Schools,Banned in Libraries,Administrator,2022-05-01,2022,2022-05
"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU","Silverberg, Cory",Texas,Frisco Independent School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Normal People,"Rooney, Sally",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Speak,"Anderson, Laurie Halse",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
The Perks of Being a Wallflower,"Chbosky, Stephen",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Shine,"Myracle, Lauren",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Impulse (Impulse Series),"Hopkins, Ellen",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Breathless,"Niven, Jennifer",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Sold,"McCormick, Patricia",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Blankets,"Thompson, Craig",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Thirteen Reasons Why,"Asher, Jay",Florida,Lee County Schools,Banned in Libraries,Administrator,2022-05-01,2022,2022-05
Sal and Gabi Break the Universe (Sal and Gabi Series),"Hernandez, Carlos",North Carolina,Wilkes County School District,Banned in Classrooms,Administrator,2022-05-01,2022,2022-05
Clean Getaway,"Stone, Nic",North Carolina,Wilkes County School District,Banned in Classrooms,Administrator,2022-05-01,2022,2022-05
The Perks of Being a Wallflower,"Chbosky, Stephen",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Looking for Alaska,"Green, John",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Crank (Crank Series),"Hopkins, Ellen",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
People Kill People,"Hopkins, Ellen",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
All Boys Aren't Blue,"Johnson, George M.",Missouri,Nixa Public Schools,Banned in Libraries and Classrooms,Formal Challenge,2022-05-01,2022,2022-05
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
City of Heavenly Fire (The Mortal Instruments Series),"Clare, Cassandra",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
"l8r, g8r","Myracle, Lauren",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Family Fletcher Takes Rock Island (Family Fletcher Series),"Levy, Dana Alison",Florida,Lee County Schools,Banned in Libraries,Administrator,2022-05-01,2022,2022-05
Thirteen Reasons Why,"Asher, Jay",Florida,St. Johns County School District,Banned in Libraries,Formal Challenge,2022-05-01,2022,2022-05
Beneath a Meth Moon: An Elegy,"Woodson, Jacqueline",Florida,Lee County Schools,Banned in Libraries,Administrator,2022-05-01,2022,2022-05
Sloppy Firsts (Jessica Darling Series),"McCafferty, Megan",Florida,Lee County Schools,Banned in Libraries,Administrator,2022-05-01,2022,2022-05
Dope Sick,"Myers, Walter Dean",Florida,Lee County Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
House of Earth and Blood (Crescent City Series),"Maas, Sarah J.",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
A Court of Mist and Fury (A Court of Thorns and Roses Series),"Maas, Sarah J.",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Sold,"McCormick, Patricia",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Fallout (Crank Series),"Hopkins, Ellen",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Best Laid Plans,"Lund, Cameron",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Thirteen Reasons Why,"Asher, Jay",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Slaughterhouse-Five,"Vonnegut Jr., Kurt",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Art of Racing in the Rain,"Stein, Garth",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Bluest Eye,"Morrison, Toni",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Identical,"Hopkins, Ellen",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Clockwork Princess (The Infernal Devices Series),"Clare, Cassandra",Tennessee,Wilson County School District,Banned Pending Investigation,Other,2022-05-01,2022,2022-05
"On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)","Rennison, Louise",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Sold,"McCormick, Patricia",Florida,St. Johns County School District,Banned in Libraries,Formal Challenge,2022-05-01,2022,2022-05
The Bluest Eye,"Morrison, Toni",Florida,Sarasota County School,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Water for Elephants,"Gruen, Sara",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Bluest Eye,"Morrison, Toni",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Lucky,"Seabold, Alice",Virginia,Virginia Beach City Public Schools,Banned in Libraries and Classrooms,Formal Challenge,2022-05-01,2022,2022-05
Go Ask Alice,"Sparks, Beatrice",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Jesus Land: A Memoir,"Scheeres, Julia",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy",Florida,St. Johns County School District,Banned in Libraries,Formal Challenge,2022-05-01,2022,2022-05
Fun Home: A Family Tragicomic,"Bechdel, Alison",Texas,Clear Creek Independent School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
A Court of Thorns and Roses (A Court of Thorns and Roses Series),"Maas, Sarah J.",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Out of Darkness,"Pérez, Ashley Hope",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
A Court of Frost and Starlight (A Court of Thorns and Roses Series),"Maas, Sarah J.",Florida,St. Johns County School District,Banned in Libraries,Formal Challenge,2022-05-01,2022,2022-05
Sold,"McCormick, Patricia",Florida,Sarasota County School,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Living Dead Girl,"Scott, Elizabeth",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
What Girls Are Made Of,"Arnold, Elana K.",Texas,Frisco Independent School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Fade (Wake Series),"McMann, Lisa",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Prince and the Dressmaker,"Wang, Jen",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Monday's Not Coming,"Jackson, Tiffany D.",Tennessee,Wilson County School District,Banned in Libraries,Other,2022-05-01,2022,2022-05
Empire of Storms (Throne of Glass Series),"Maas, Sarah J.",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Thirteen Reasons Why,"Asher, Jay",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Beloved,"Morrison, Toni",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
This One Summer,"Tamaki, Mariko",Florida,Lee County Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Breakaways,"Johnson, Cathy G.",Florida,St. Johns County School District,Banned in Libraries,Formal Challenge,2022-05-01,2022,2022-05
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Wisconsin,Oconomowoc Area School District,Banned in Libraries and Classrooms,Formal Challenge,2022-05-01,2022,2022-05
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
The Handmaid's Tale,"Atwood, Margaret",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Graceling (Graceling Realm Series),"Cashore, Kristin",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Flamer,"Curato, Mike",Texas,Klein Independent School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Nineteen Minutes,"Picoult, Jodi",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
A Court of Mist and Fury (A Court of Thorns and Roses Series),"Maas, Sarah J.",Tennessee,Wilson County School District,Banned in Libraries,Other,2022-05-01,2022,2022-05
Boy Girl Boy,"Koertge, Ron",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Kite Runner,"Hosseini, Khaled",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
Boy-Crazy Stacey (The Baby-Sitters Club Series),"Martin, Ann M.",Missouri,Fox C-6 School District,Banned in Libraries,Formal Challenge,2022-05-01,2022,2022-05
Speak,"Anderson, Laurie Halse",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
33 Snowfish,"Rapp, Adam",Michigan,Gladwin Community Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
A Court of Frost and Starlight (A Court of Thorns and Roses Series),"Maas, Sarah J.",Florida,Brevard Public Schools,Banned Pending Investigation,Administrator,2022-05-01,2022,2022-05
The Handmaid's Tale,"Atwood, Margaret",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Idaho,Nampa School District,Banned in Libraries and Classrooms,Administrator,2022-05-01,2022,2022-05
Revealed (House of Night Series),"Cast, P. C.",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Hidden (House of Night Series),"Cast, P. C.",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Thirteen Reasons Why,"Asher, Jay",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Beloved,"Morrison, Toni",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Brave Face: A Memoir,"Hutchinson, Shaun David",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
A Certain Slant of Light,"Whitcomb, Laura",Florida,Indian River County School District,Banned in Libraries,Administrator,2021-11-01,2021,2021-11
All Boys Aren't Blue,"Johnson, George M.",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Dear Martin,"Stone, Nic",Florida,Indian River County School District,Banned in Libraries,Administrator,2021-11-01,2021,2021-11
Spinning,"Walden, Tillie",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Out of Darkness,"Pérez, Ashley Hope",Kansas,Goddard Public Schools,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
The Music of What Happens,"Konigsberg, Bill",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Eleanor & Park,"Rowell, Rainbow",Florida,Indian River County School District,Banned in Libraries,Administrator,2021-11-01,2021,2021-11
Gender Queer: A Memoir,"Kobabe, Maia",Pennsylvania,Kutztown Area School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Perfect (Impulse Series),"Hopkins, Ellen",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
47,"Mosley, Walter",Texas,Keller Independent School District,Banned in Classrooms,Formal Challenge,2021-11-01,2021,2021-11
Tricks (Tricks Series),"Hopkins, Ellen",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Tricks (Tricks Series),"Hopkins, Ellen",Florida,Orange County Public Schools,Banned Pending Investigation,Formal Challenge,2021-11-01,2021,2021-11
City of Heavenly Fire (The Mortal Instruments Series),"Clare, Cassandra",Florida,Indian River County School District,Banned in Libraries,Administrator,2021-11-01,2021,2021-11
This One Summer,"Tamaki, Mariko",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
A Court of Mist and Fury (A Court of Thorns and Roses Series),"Maas, Sarah J.",Florida,Indian River County School District,Banned in Libraries,Administrator,2021-11-01,2021,2021-11
Jack of Hearts (and other parts),"Rosen, L. C.",Texas,Katy Independent School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
The House of the Spirits,"Allende, Isabel",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
"Black Software: The Internet & Racial Justice, from the Afronet to Black Lives Matter","McIlwain, Charlton D.",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
The Things They Carried,"O'Brien, Tim",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
The Tenth Circle,"Picoult, Jodi",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
The Hate U Give,"Thomas, Angie",Florida,Flagler Schools,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Lawn Boy,"Evison, Jonathan",Texas,Tyler Independent School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
An African American and Latinx History of the United States,"Ortiz, Paul",Texas,Klein Independent School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Gender Queer: A Memoir,"Kobabe, Maia",Florida,Brevard Public Schools,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Out of the Easy,"Sepetys, Ruta",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",Kansas,Goddard Public Schools,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Cross My Heart (Cross My Heart Series),"Gould, Sasha",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Lucky,"Sebold, Alice",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Lucy Peale,"Rodowsky, Colby",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Mexican Whiteboy,"de la Peña, Matt",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
The Magic Fish,"Nguyen, Trung Le",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Living Proud! Coming Out and Seeking Support (Living Proud! Growing Up Lgbtq),"Rodi, Robert",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Lily and Dunkin,"Gephart, Donna",Kansas,Goddard Public Schools,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Me and Earl and the Dying Girl,"Andrews, Jesse",Texas,Katy Independent School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Baseball Saved Us,"Mochizuki, Ken",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Abortion (Opposing Viewpoints Series),"Torr, James D.",Texas,Klein Independent School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Kansas,Goddard Public Schools,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",Texas,Klein Independent School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
Draw Me a Star,"Carle, Eric",Florida,Indian River County School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
"Thanks a Lot, Universe","Lucas, Chad",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Forever for a Year,"Gottfred, B. T.",Texas,Katy Independent School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
All Boys Aren't Blue,"Johnson, George M.",Florida,Flagler Schools,Banned in Libraries,Administrator,2021-11-01,2021,2021-11
Chosen (House of Night Series),"Cast, P. C.",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Little & Lion,"Colbert, Brandy",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
Beloved,"Morrison, Toni",Texas,Klein Independent School District,Banned Pending Investigation,Administrator,2021-11-01,2021,2021-11
I'll Be the One,"Lee, Lyla",Florida,Indian River County School District,Banned in Libraries and Classrooms,Administrator,2021-11-01,2021,2021-11
