title,author,state,district,ban_type,origin,date,year,month
Two Dads: A Book About Adopton,"Robertson, Carolyn",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Bluest Eye,"Morrison, Toni",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
More Happy Than Not,"Silvera, Adam",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Blended,"Draper, Sharon M.",Texas,Clear Creek Independent School District,Banned in Libraries,Formal Challenge,2022-04-01,2022,2022-04
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Let Me Hear a Rhyme,"Jackson, Tiffany D.",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
The Bluest Eye,"Morrison, Toni",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Killing Mr. Griffin,"Duncan, Lois",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Beloved,"Morrison, Toni",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",Florida,Santa Rosa County District Schools,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Killing Mr. Griffin,"Duncan, Lois",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Jack of Hearts (and other parts),"Rosen, L. C.",Texas,Killeen Independent School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Sloppy Firsts (Jessica Darling Series),"McCafferty, Megan",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Thirteen Reasons Why,"Asher, Jay",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Santa Rosa County District Schools,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Me and Earl and the Dying Girl,"Andrews, Jesse",Pennsylvania,Elizabethtown Area School District,Banned Pending Investigation,Formal Challenge,2022-04-01,2022,2022-04
The Vincent Boys (The Vincent Boys Series),"Glines, Abbi",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Daddy's Roommate,"Willhoite, Michael",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
S.E.X.: The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School and College,"Corinna, Heather",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Drama: A Graphic Novel,"Telgemeier, Raina",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Scottsboro Boys,"Haskins, James",Iowa,Keokuk Community School District,Banned in Libraries and Classrooms,Formal Challenge,2022-04-01,2022,2022-04
Out of Darkness,"Pérez, Ashley Hope",Florida,Osceola County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
All Boys Aren't Blue,"Johnson, George M.",Michigan,Rochester Community Schools District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
This One Summer,"Tamaki, Mariko",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Nineteen Minutes,"Picoult, Jodi",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
"Girl, Woman, Other","Evaristo, Bernardine",South Dakota,Rapid City Area Schools,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Normal People,"Rooney, Sally",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Uglies (Uglies Series),"Westerfeld, Scott",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
American Born Chinese,"Yang, Gene Luen",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Triangles,"Hopkins, Ellen",Texas,Frisco Independent School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
I am Jazz,"Jennings, Jazz",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Hate U Give,"Thomas, Angie",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Discovering Wes Moore,"Moore, Wes",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Dear Martin,"Stone, Nic",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
What Girls Are Made Of,"Arnold, Elana K.",Texas,Cypress-Fairbanks Independent School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Monday's Not Coming,"Jackson, Tiffany D.",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Almost Perfect,"Katcher, Brian",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Melissa (George),"Gino, Alex",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Forever...,"Blume, Judy",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Worm Loves Worm,"Austrian, J.J.",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,"Testa, Rylan Jay",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Lola Levine and the Ballet Scheme (Lola Levine Series),"Brown, Monica",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
We March,"Evans, Shane W.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
How We Fight White Supremacy,"Solomon, Akiba",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lola at the Library with Mommy (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Yasmin the Zookeeper (Yasmin Series),"Faruqi, Saadia",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,"Kissinger, Katie",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lola Levine Is Not Mean! (Lola Levine Series),"Brown, Monica",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Was Lucille Ball? (Who was...? Series),"Pollack, Pam",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Was Maria Tallchief? (Who was...? Series),"Gourley, Catherine",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Each Kindness,"Woodson, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
What Were the Negro Leagues? (What was...? Series),"Johnson, Varian",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
This Is My America,"Johnson, Kim",Pennsylvania,Pennridge School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"I am Martin Luther King, Jr.","Meltzer, Brad",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
How to Be an Antiracist,"Kendi, Ibram X.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Always my Dad,"Wyeth, Sharon Dennis",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"47,000 Beads","Adeyoha, Koja",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
25 Women Who Ruled,"Stanborough, Rebecca J.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Pushout: The Criminalization of Black Girls in Schools,"Morris, Monique W.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Before John Was a Jazz Giant: A Song of John Coltrane,"Weatherford, Carole Boston",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
One Green Apple,"Bunting, Eve",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Mission Star-Power (Jaden Toussaint, the Greatest Series)","Dumas, Marti",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
All the World,"Scanlon, Liz Garton",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Hey Black Child,"Perkins, Useni Eugene",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Yasmin the Fashionista (Yasmin Series),"Faruqi, Saadia",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
No Mirrors in My Nana's House: Musical CD and Book,"Barnwell, Ysaye M.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Because,"Willems, Mo",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)","Florence, Debbi Michiko",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Team BFF: Race to the Finish! (Girls Who Code Series),"Deutsch, Stacia",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Hands Up!,"McDaniel, Breanna J.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Power of One: Every Act of Kindness Counts,"Ludwig, Trudy",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Yasmin the Friend (Yasmin Series),"Faruqi, Saadia",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,"Duncan-Andrade, Jeffrey M. R.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Pride: The Story of Harvey Milk and the Rainbow Flag,"Sanders, Rob",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
King & Kayla and the Case of the Lost Tooth (King & Kayla Series),"Butler, Dori Hillestad",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lola Loves Stories with Daddy (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Ghost Boys,"Rhodes, Jewell Parker",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
As Fast as Words Could Fly,"Tuck, Pamela M.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
My Family Adventure (Sofía Martínez Series),"Jules, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Harvesting Hope: The Story of Cesar Chavez,"Krull, Kathleen",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Daddy, There's A Noise Outside","Braswell, Kenneth",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Michelle,"Hopkinson, Deborah",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Wants I Scream? (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Planet Omar: Unexpected Super Spy (Planet Omar Series),"Mian, Zanib",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Exquisite: The Poetry and Life of Gwendolyn Brooks,"Slade, Suzanne",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Ada Byron Lovelace and the Thinking Machine,"Wallmark, Laurie",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Saturday,"Mora, Oge",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Culturally Sustaining Pedagogies: Teaching and Learning for Justice in a Changing World,"Paris, Django",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Mindy Kim and the Birthday Puppy (Mindy Kim Series),"Lee, Lyla",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Reparations, Yes!: The Legal And Political Reasons Why New Afrikans, Black People In North America, Should Be Paid Now For The Enslavement Of Our Ancestors","Lumumba, Chokwe",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
