year,regime_label,count,share
1989,Closed Autocracy,65,0.41139240506329117
1989,Electoral Autocracy,46,0.2911392405063291
1989,Electoral Democracy,20,0.12658227848101267
1989,Liberal Democracy,27,0.17088607594936708
1990,Closed Autocracy,60,0.3508771929824561
1990,Electoral Autocracy,49,0.28654970760233917
1990,Electoral Democracy,34,0.19883040935672514
1990,Liberal Democracy,28,0.16374269005847952
1991,Closed Autocracy,58,0.3352601156069364
1991,Electoral Autocracy,50,0.28901734104046245
1991,Electoral Democracy,35,0.2023121387283237
1991,Liberal Democracy,30,0.17341040462427745
1992,Closed Autocracy,51,0.29310344827586204
1992,Electoral Autocracy,55,0.3160919540229885
1992,Electoral Democracy,38,0.21839080459770116
1992,Liberal Democracy,30,0.1724137931034483
1993,Closed Autocracy,50,0.2857142857142857
1993,Electoral Autocracy,52,0.29714285714285715
1993,Electoral Democracy,40,0.22857142857142856
1993,Liberal Democracy,33,0.18857142857142858
1994,Closed Autocracy,44,0.25142857142857145
1994,Electoral Autocracy,54,0.30857142857142855
1994,Electoral Democracy,44,0.25142857142857145
1994,Liberal Democracy,33,0.18857142857142858
1995,Closed Autocracy,40,0.22857142857142856
1995,Electoral Autocracy,56,0.32
1995,Electoral Democracy,46,0.26285714285714284
1995,Liberal Democracy,33,0.18857142857142858
1996,Closed Autocracy,32,0.18285714285714286
1996,Electoral Autocracy,62,0.35428571428571426
1996,Electoral Democracy,45,0.2571428571428571
1996,Liberal Democracy,36,0.2057142857142857
1997,Closed Autocracy,31,0.17714285714285713
1997,Electoral Autocracy,62,0.35428571428571426
1997,Electoral Democracy,46,0.26285714285714284
1997,Liberal Democracy,36,0.2057142857142857
1998,Closed Autocracy,32,0.18181818181818182
1998,Electoral Autocracy,60,0.3409090909090909
1998,Electoral Democracy,48,0.2727272727272727
1998,Liberal Democracy,36,0.20454545454545456
1999,Closed Autocracy,34,0.192090395480226
1999,Electoral Autocracy,58,0.327683615819209
1999,Electoral Democracy,47,0.2655367231638418
1999,Liberal Democracy,38,0.21468926553672316
2000,Closed Autocracy,37,0.20903954802259886
2000,Electoral Autocracy,56,0.3163841807909605
2000,Electoral Democracy,45,0.2542372881355932
2000,Liberal Democracy,39,0.22033898305084745
2001,Closed Autocracy,36,0.2033898305084746
2001,Electoral Autocracy,55,0.3107344632768362
2001,Electoral Democracy,47,0.2655367231638418
2001,Liberal Democracy,39,0.22033898305084745
2002,Closed Autocracy,30,0.1694915254237288
2002,Electoral Autocracy,59,0.3333333333333333
2002,Electoral Democracy,49,0.2768361581920904
2002,Liberal Democracy,39,0.22033898305084745
2003,Closed Autocracy,28,0.15819209039548024
2003,Electoral Autocracy,54,0.3050847457627119
2003,Electoral Democracy,55,0.3107344632768362
2003,Liberal Democracy,40,0.22598870056497175
2004,Closed Autocracy,29,0.1638418079096045
2004,Electoral Autocracy,53,0.2994350282485876
2004,Electoral Democracy,54,0.3050847457627119
2004,Liberal Democracy,41,0.23163841807909605
2005,Closed Autocracy,26,0.14689265536723164
2005,Electoral Autocracy,57,0.3220338983050847
2005,Electoral Democracy,52,0.2937853107344633
2005,Liberal Democracy,42,0.23728813559322035
2006,Closed Autocracy,25,0.14124293785310735
2006,Electoral Autocracy,59,0.3333333333333333
2006,Electoral Democracy,51,0.288135593220339
2006,Liberal Democracy,42,0.23728813559322035
2007,Closed Autocracy,28,0.15730337078651685
2007,Electoral Autocracy,59,0.33146067415730335
2007,Electoral Democracy,48,0.2696629213483146
2007,Liberal Democracy,43,0.24157303370786518
2008,Closed Autocracy,23,0.12921348314606743
2008,Electoral Autocracy,64,0.3595505617977528
2008,Electoral Democracy,48,0.2696629213483146
2008,Liberal Democracy,43,0.24157303370786518
2009,Closed Autocracy,24,0.1348314606741573
2009,Electoral Autocracy,63,0.3539325842696629
2009,Electoral Democracy,46,0.25842696629213485
2009,Liberal Democracy,45,0.25280898876404495
2010,Closed Autocracy,24,0.1348314606741573
2010,Electoral Autocracy,61,0.34269662921348315
2010,Electoral Democracy,49,0.2752808988764045
2010,Liberal Democracy,44,0.24719101123595505
2011,Closed Autocracy,23,0.12849162011173185
2011,Electoral Autocracy,63,0.35195530726256985
2011,Electoral Democracy,49,0.2737430167597765
2011,Liberal Democracy,44,0.24581005586592178
2012,Closed Autocracy,22,0.12290502793296089
2012,Electoral Autocracy,63,0.35195530726256985
2012,Electoral Democracy,50,0.27932960893854747
2012,Liberal Democracy,44,0.24581005586592178
2013,Closed Autocracy,24,0.1340782122905028
2013,Electoral Autocracy,63,0.35195530726256985
2013,Electoral Democracy,52,0.2905027932960894
2013,Liberal Democracy,40,0.22346368715083798
2014,Closed Autocracy,24,0.1340782122905028
2014,Electoral Autocracy,63,0.35195530726256985
2014,Electoral Democracy,51,0.2849162011173184
2014,Liberal Democracy,41,0.22905027932960895
2015,Closed Autocracy,24,0.1340782122905028
2015,Electoral Autocracy,61,0.3407821229050279
2015,Electoral Democracy,53,0.29608938547486036
2015,Liberal Democracy,41,0.22905027932960895
2016,Closed Autocracy,25,0.13966480446927373
2016,Electoral Autocracy,59,0.329608938547486
2016,Electoral Democracy,56,0.3128491620111732
2016,Liberal Democracy,39,0.21787709497206703
2017,Closed Autocracy,25,0.13966480446927373
2017,Electoral Autocracy,61,0.3407821229050279
2017,Electoral Democracy,54,0.3016759776536313
2017,Liberal Democracy,39,0.21787709497206703
2018,Closed Autocracy,23,0.12849162011173185
2018,Electoral Autocracy,62,0.3463687150837989
2018,Electoral Democracy,55,0.30726256983240224
2018,Liberal Democracy,39,0.21787709497206703
2019,Closed Autocracy,22,0.12290502793296089
2019,Electoral Autocracy,64,0.3575418994413408
2019,Electoral Democracy,55,0.30726256983240224
2019,Liberal Democracy,38,0.2122905027932961
2020,Closed Autocracy,24,0.1340782122905028
2020,Electoral Autocracy,63,0.35195530726256985
2020,Electoral Democracy,57,0.31843575418994413
2020,Liberal Democracy,35,0.19553072625698323
2021,Closed Autocracy,28,0.1564245810055866
2021,Electoral Autocracy,59,0.329608938547486
2021,Electoral Democracy,57,0.31843575418994413
2021,Liberal Democracy,35,0.19553072625698323
2022,Closed Autocracy,33,0.18435754189944134
2022,Electoral Autocracy,55,0.30726256983240224
2022,Electoral Democracy,54,0.3016759776536313
